NAME:,walk_3_1.csv,,
EXPERIMENT TIME:,05/06/2023 20:36,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,104,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,5.26,-5.41,-6.24
0.041,5.69,-5.65,-6.51
0.082,5.84,-5.41,-6.28
0.123,5.57,-5.33,-6.51
0.164,6.08,-5.57,-7.02
0.205,5.69,-5.26,-6.75
0.246,5.22,-5.02,-6.71
0.287,5.69,-5.53,-7.14
0.328,5.45,-5.3,-6.9
0.369,4.79,-4.82,-6.59
0.41,5.49,-5.26,-6.94
0.451,6.43,-5.49,-7.26
0.492,5.88,-4.75,-7.26
0.533,5.53,-4.94,-6.71
0.574,6.32,-5.92,-7.34
0.615,6.12,-5.22,-6.71
0.656,5.69,-3.61,-5.81
0.697,6,-3.49,-6.63
0.738,6.51,-4.2,-6.43
0.779,7.22,-5.49,-7.06
0.82,5.96,-5.14,-7.26
0.861,5.41,-4.71,-6.79
0.902,7.02,-5.84,-7.41
0.943,6.71,-4.98,-6.98
0.984,5.65,-3.8,-6.24
1.025,5.02,-3.26,-5.69
1.066,6.47,-4.24,-5.84
1.107,6.9,-4.2,-6.12
1.148,6.9,-4.59,-6.39
1.189,6.83,-5.18,-6.59
1.23,6.71,-5.61,-6.9
1.271,6.24,-4.75,-6.08
1.312,6.2,-3.69,-5.49
1.353,6.39,-3.41,-5.1
1.394,6.32,-3.61,-5.26
1.435,7.22,-4.43,-5.57
1.476,7.37,-4.43,-5.41
1.517,8.08,-4.75,-5.1
1.558,8.39,-5.26,-6.2
1.599,8.16,-6.39,-9.1
1.64,9.57,-8.55,-10
1.681,5.1,-7.26,-10.59
1.722,1.06,-4,-8.24
1.763,3.41,-4.39,-8.71
1.804,8,-5.57,-5.18
1.845,8.47,-5.1,-8.43
1.886,3.69,-2.16,-6.08
1.927,3.57,-1.92,-3.69
1.968,2.67,-3.37,-3.77
2.009,3.45,-6.2,-4.98
2.05,4.47,-7.45,-5.65
